Age,Gender,Monthly_Income,Occupation,City,Marital_Status,Owns_Vehicle,Vehicle_Type_Owned,Usage_Frequency,Primary_Use,Importance_Attributes,Preferred_Brands,Aware_Subscription,Willingness_Subscribe,Subscription_Budget,Motivating_Features,Preferred_Duration,Swap_Valuable,Subscription_Concerns,Hesitation_Reason,Vehicle_Change_Frequency,App_Comfort,Uses_Mobility_Apps,Expected_App_Features,NPS_Score
34,Male,44442,Other,Isaacshire,Married,No,Luxury,Daily,Business,"Comfort, Safety, Tech Features","Tesla, Kia, BMW",Yes,Neutral,14119,"Roadside assistance, No down payment",>1 year,Not Sure,"Cost, Availability, Condition of vehicle",Grow light investment remember possible security western method.,Every 2-3 years,Somewhat,No,Swap History,2.7
18,Male,28916,Business Owner,Lake David,Married,Yes,SUV,Weekends only,Travel,Model Variety,Other,Somewhat,Neutral,22876,Easy swaps,3-6 months,Not Sure,Availability,For TV pull fish everything without exist involve.,Once a year,Neutral,No,"Ratings, Live Chat",5.0
47,Male,50234,Working Professional,Lake Jessicamouth,Single,Yes,SUV,Weekends only,"Business, Travel","Safety, Comfort","Toyota, Other, Kia",Yes,Never,20050,"Roadside assistance, Easy swaps",6-12 months,Yes,"Insurance, Return process, Support",World stock all discussion music special chance clear.,Once a year,Very Comfortable,No,"Swap History, Live Chat, Ratings",3.1
49,Female,63534,Student,West Brandonchester,Single,Yes,EV,Rarely,Travel,"Tech Features, Brand, Sustainability, Model Variety, Fuel Type","Audi, Kia, Honda",No,Likely,7477,"Easy swaps, No down payment",>1 year,Yes,"Return process, Cost",Certainly them treat why view check new.,Once a year,Neutral,Yes,Swap History,2.9
25,Female,36383,Other,East Tamara,Married,Yes,Sedan,Few times a week,"Other, Family","Fuel Type, Comfort, Tech Features","Toyota, Other, Honda",No,Neutral,21020,Digital platform,3-6 months,Not Sure,"Availability, Insurance",Official dream piece head feel usually.,Once a year,Very Comfortable,Yes,Ratings,5.0
28,Female,72789,Working Professional,Lake Erinhaven,Single,No,SUV,Few times a week,"Commute, Business, Family","Brand, Fuel Type","Other, Toyota",No,Neutral,18413,"Monthly flexibility, Easy swaps",3-6 months,Not Sure,Return process,System southern somebody ask no total wonder poor effort property.,Once a year,Somewhat,Yes,"Ratings, Live Chat, Easy UI",4.2
34,Male,57661,Retired,Kristentown,Single,No,Sedan,Weekends only,Other,"Fuel Type, Tech Features, Sustainability",Tata,No,Neutral,17406,"No down payment, Digital platform",3-6 months,No,Support,Well total sort team bad tax professor crime.,Once a year,Very Comfortable,Yes,"Ratings, Offers/Discounts",4.9
35,Female,65458,Freelancer,East Brenda,Married,No,Two-Wheeler,Rarely,Travel,"Safety, Fuel Type","Maruti, Audi, Other",No,Likely,11578,"Digital platform, No down payment",3-6 months,Yes,"Insurance, Support",For low still single music important end.,Once a year,Somewhat,Yes,"Easy UI, Model Filters",3.9
38,Male,40132,Retired,Edwardsport,Married,No,EV,Weekends only,Commute,Tech Features,Tata,Yes,Neutral,11950,"Monthly flexibility, Easy swaps, Roadside assistance",6-12 months,Yes,Condition of vehicle,Upon thing voice cell score.,I don’t care,Very Comfortable,Yes,Easy UI,4.3
52,Other,62817,Freelancer,South Jonathon,Married,Yes,Other,Few times a week,"Family, Commute","Comfort, Brand, Safety","Tesla, Audi",Yes,Unlikely,15685,"Monthly flexibility, Easy swaps, No down payment",>1 year,No,"Availability, Support",Blue of responsibility start life your condition yes particular well.,Once a year,Somewhat,Yes,"Easy UI, Offers/Discounts",2.3
30,Female,33620,Freelancer,Andersonland,Single,Yes,Sedan,Weekends only,"Commute, Other, Business","Model Variety, Sustainability, Fuel Type","Tesla, Hyundai",No,Likely,12234,"Monthly flexibility, Insurance included",>1 year,Yes,"Return process, Support, Cost",Trip treatment then family record.,I don’t care,Somewhat,Yes,Swap History,3.8
24,Male,63353,Retired,Lake Patricialand,Married,Yes,Two-Wheeler,Few times a week,Family,"Tech Features, Model Variety, Brand, Comfort","Hyundai, Tesla, Maruti",No,Unlikely,21563,Insurance included,<3 months,No,"Support, Insurance",Dream choose over PM.,Rarely,Neutral,No,Live Chat,2.7
18,Female,52577,Retired,Lindseyberg,Single,No,Sedan,Few times a week,"Leisure, Other","Tech Features, Safety, Model Variety, Comfort, Brand","Audi, Hyundai, Toyota",No,Likely,12020,No down payment,>1 year,Not Sure,"Availability, Insurance",Material night notice agreement impact in cultural at concern pretty behavior.,Every 2-3 years,Not Comfortable,No,"Swap History, Model Filters, Easy UI",5.0
24,Male,58298,Working Professional,East Brittanyland,Single,No,Sedan,Few times a week,"Other, Business, Family","Model Variety, Comfort, Fuel Type, Safety, Sustainability","Other, Toyota",Somewhat,Never,5266,"Monthly flexibility, Insurance included, No down payment",<3 months,No,"Return process, Support, Condition of vehicle",Discuss admit family writer indeed whatever feel.,Once a year,Not Comfortable,No,"Offers/Discounts, Ratings, Model Filters",5.0
31,Female,32366,Other,Thompsonmouth,Married,Yes,SUV,Daily,"Business, Other","Model Variety, Sustainability, Tech Features, Safety, Brand","Tata, Maruti",No,Neutral,8492,"Digital platform, Roadside assistance, Insurance included",3-6 months,Yes,"Condition of vehicle, Cost, Availability",Enough effort ever politics fund serious policy guy.,Every 2-3 years,Somewhat,No,Offers/Discounts,3.2
49,Male,36573,Other,New Abigail,Single,No,Hatchback,Daily,"Commute, Travel","Tech Features, Sustainability, Safety",Audi,No,Neutral,8810,"Monthly flexibility, Easy swaps",6-12 months,Yes,"Insurance, Support, Cost",Six agreement ground leader shake left idea big worry six nature.,Once a year,Neutral,Yes,"Easy UI, Offers/Discounts, Live Chat",3.8
26,Male,58958,Retired,Maryhaven,Single,Yes,Luxury,Weekends only,Other,"Comfort, Model Variety","Honda, Audi",Yes,Very Likely,13683,No down payment,6-12 months,Not Sure,Cost,Need herself several school rest language fish structure serve.,I don’t care,Not Comfortable,Yes,"Live Chat, Swap History",3.8
34,Female,35774,Working Professional,North Benjaminland,Married,Yes,Sedan,Few times a week,"Commute, Leisure","Model Variety, Fuel Type, Brand, Safety, Comfort",Honda,No,Very Likely,16080,"Roadside assistance, No down payment",3-6 months,No,"Trust, Availability",Magazine tough state score specific want.,Once a year,Not Comfortable,Yes,"Ratings, Model Filters",5.0
31,Male,56948,Other,East Williamland,Single,Yes,Sedan,Daily,"Business, Travel, Leisure","Sustainability, Model Variety, Brand","Maruti, Kia, Toyota",No,Neutral,15269,"Roadside assistance, No down payment",<3 months,No,Condition of vehicle,Easy opportunity manager away throughout why short south national.,Rarely,Neutral,Yes,Model Filters,4.5
43,Female,29492,Working Professional,Fosterview,Single,Yes,Sedan,Weekends only,"Leisure, Commute, Travel","Comfort, Sustainability, Fuel Type",Hyundai,Yes,Likely,17304,Roadside assistance,3-6 months,No,Condition of vehicle,Reduce ago respond stage himself some accept tax general word.,Every 2-3 years,Neutral,No,"Live Chat, Offers/Discounts, Swap History",3.5
57,Male,62722,Working Professional,Rhondabury,Single,No,Hatchback,Weekends only,"Business, Travel","Tech Features, Sustainability, Fuel Type, Model Variety","Kia, Honda, Tesla",Yes,Neutral,13738,Insurance included,6-12 months,No,Insurance,Already history event management front just use somebody so.,Every 2-3 years,Not Comfortable,Yes,"Swap History, Model Filters, Live Chat",4.2
26,Female,31512,Freelancer,Joshualand,Single,Yes,Two-Wheeler,Weekends only,"Travel, Business","Brand, Model Variety","Toyota, Maruti",No,Very Likely,13915,"Insurance included, Roadside assistance",6-12 months,No,Condition of vehicle,Certainly kitchen statement least firm bring if surface.,Rarely,Not Comfortable,Yes,Live Chat,2.2
27,Female,58284,Other,New Brandonstad,Single,Yes,Other,Weekends only,Leisure,"Brand, Safety","Audi, Honda",Yes,Unlikely,23759,Insurance included,>1 year,Yes,"Return process, Availability, Trust",Understand international community quickly performance toward project hospital.,I don’t care,Very Comfortable,Yes,"Swap History, Model Filters, Live Chat",3.9
42,Female,59384,Other,Petersenton,Married,Yes,Other,Weekends only,"Family, Leisure","Fuel Type, Safety, Tech Features, Model Variety, Sustainability",Honda,Yes,Unlikely,21026,Monthly flexibility,<3 months,Yes,"Insurance, Condition of vehicle, Cost",City media author near effort.,I don’t care,Very Comfortable,Yes,"Model Filters, Live Chat",2.7
38,Male,39548,Freelancer,Ramirezton,Married,Yes,EV,Rarely,"Leisure, Commute","Model Variety, Tech Features","BMW, Hyundai, Kia",No,Very Likely,17041,Digital platform,>1 year,Yes,"Support, Availability",Likely clear range leave call near.,Rarely,Somewhat,Yes,"Easy UI, Model Filters, Offers/Discounts",1.8
50,Male,58730,Retired,Lake Casey,Single,Yes,SUV,Few times a week,Other,Fuel Type,"Tesla, Audi, Tata",Yes,Neutral,19583,"No down payment, Roadside assistance, Monthly flexibility",6-12 months,Yes,Return process,Crime with those particularly ground prove certainly control PM bag common.,Every 2-3 years,Not Comfortable,Yes,"Offers/Discounts, Live Chat, Swap History",5.0
37,Male,53906,Freelancer,South Kristinachester,Married,Yes,Hatchback,Weekends only,"Travel, Commute",Tech Features,"Honda, Tata, Hyundai",Somewhat,Unlikely,5368,Roadside assistance,6-12 months,Yes,"Return process, Support, Insurance",Air defense new behind challenge.,Once a year,Neutral,Yes,"Easy UI, Offers/Discounts",4.0
28,Male,41917,Other,Wilsontown,Single,Yes,Two-Wheeler,Rarely,Leisure,"Model Variety, Safety, Tech Features, Comfort","Tata, Hyundai, Other",Yes,Neutral,10887,Insurance included,>1 year,Yes,"Insurance, Condition of vehicle, Trust",Pm cost since fact nature deep your include.,I don’t care,Neutral,Yes,Ratings,3.1
37,Female,34871,Other,East Tommymouth,Single,Yes,Sedan,Few times a week,Commute,"Model Variety, Comfort, Tech Features","Other, Honda",No,Likely,12838,"No down payment, Monthly flexibility, Digital platform",>1 year,Not Sure,"Availability, Trust",Event next dream trouble concern wonder behavior treat.,Once a year,Not Comfortable,No,Model Filters,2.0
43,Female,20560,Retired,West Hunterside,Married,Yes,Two-Wheeler,Daily,"Commute, Business, Other","Model Variety, Sustainability, Tech Features, Safety","Kia, Honda, Maruti",No,Neutral,10946,Roadside assistance,6-12 months,Yes,"Support, Trust",Evening newspaper give story past young.,Every 2-3 years,Somewhat,Yes,"Live Chat, Model Filters",3.7
40,Female,55244,Freelancer,Dennisport,Single,No,Hatchback,Weekends only,Other,Comfort,"Tesla, Kia, Audi",Somewhat,Likely,7271,Roadside assistance,>1 year,Yes,"Support, Return process",Know citizen whom so area animal offer difference this.,Once a year,Neutral,Yes,Model Filters,3.8
37,Female,26527,Student,Woodborough,Other,Yes,Hatchback,Rarely,Business,Fuel Type,BMW,Yes,Likely,17102,"Monthly flexibility, Digital platform, Insurance included",>1 year,Yes,"Support, Trust, Availability",Movement sound recent consider laugh very under kitchen black admit.,Rarely,Not Comfortable,Yes,"Easy UI, Offers/Discounts",4.9
42,Female,51430,Student,West Bobbyville,Single,Yes,Hatchback,Daily,"Leisure, Travel","Model Variety, Tech Features, Sustainability, Safety","Maruti, Toyota, BMW",No,Likely,21928,"Roadside assistance, No down payment",<3 months,No,"Support, Return process",Machine yet nation attack clear carry walk dream learn without.,I don’t care,Not Comfortable,Yes,Offers/Discounts,2.9
43,Female,46048,Retired,West Johnland,Married,Yes,EV,Rarely,Commute,Model Variety,"Kia, Hyundai",No,Neutral,14935,"Monthly flexibility, Roadside assistance, No down payment",6-12 months,Yes,Insurance,Three on goal bag successful.,I don’t care,Somewhat,Yes,"Ratings, Live Chat",3.4
45,Male,60187,Freelancer,East Karl,Single,Yes,Luxury,Few times a week,Travel,"Sustainability, Safety, Comfort, Fuel Type","Tesla, Audi, Other",No,Very Likely,18240,"Monthly flexibility, Roadside assistance",3-6 months,Yes,"Return process, Availability",Since that base for mission than responsibility however lose act.,Rarely,Not Comfortable,Yes,"Ratings, Offers/Discounts, Model Filters",2.9
38,Female,45469,Freelancer,New Matthewmouth,Single,Yes,SUV,Few times a week,"Leisure, Travel","Model Variety, Comfort, Tech Features, Brand","Tesla, Maruti",No,Never,14787,"Digital platform, No down payment",<3 months,Yes,Availability,Mean person wide response nothing really oil between company family.,Rarely,Neutral,No,Easy UI,3.7
30,Female,45058,Working Professional,Aaronborough,Single,No,EV,Daily,"Travel, Other","Tech Features, Comfort, Fuel Type, Sustainability, Safety","Honda, Maruti, Kia",No,Likely,12791,"Insurance included, No down payment",3-6 months,Not Sure,"Return process, Insurance, Availability",Wonder keep design interview recent reason.,I don’t care,Very Comfortable,No,Ratings,1.6
33,Female,60978,Other,Port Ashley,Married,No,EV,Rarely,"Family, Leisure, Other","Safety, Sustainability, Tech Features, Brand, Fuel Type","Tesla, Audi",Somewhat,Likely,19595,Easy swaps,>1 year,Not Sure,"Availability, Cost, Insurance",Father open piece environment test power himself opportunity benefit.,I don’t care,Somewhat,Yes,"Ratings, Offers/Discounts, Model Filters",3.0
44,Male,55025,Business Owner,South Michael,Married,No,Luxury,Weekends only,Other,Comfort,"Maruti, BMW",Yes,Likely,7859,No down payment,>1 year,Not Sure,Support,Manager church give cut sport.,I don’t care,Not Comfortable,Yes,"Ratings, Live Chat, Offers/Discounts",4.8
23,Male,54742,Retired,New Gregory,Divorced,Yes,EV,Weekends only,"Leisure, Business, Family","Sustainability, Brand, Model Variety, Comfort",Toyota,Yes,Likely,5682,No down payment,3-6 months,Yes,"Support, Condition of vehicle",Deal money magazine front add oil follow.,Every 2-3 years,Somewhat,Yes,Live Chat,2.5
35,Male,57039,Business Owner,South Davehaven,Single,Yes,Hatchback,Daily,"Commute, Travel",Safety,Other,Somewhat,Neutral,7788,"Digital platform, Roadside assistance",>1 year,No,Availability,Return rather central order that war room.,Every 2-3 years,Not Comfortable,Yes,"Model Filters, Ratings",5.0
28,Female,26966,Business Owner,West Matthewview,Single,No,Hatchback,Daily,"Other, Leisure, Business","Safety, Tech Features, Brand, Model Variety",Honda,Yes,Likely,19267,Easy swaps,>1 year,Yes,Availability,South produce expert start picture.,Every 2-3 years,Very Comfortable,Yes,"Live Chat, Swap History",5.0
32,Female,61351,Retired,Amybury,Single,Yes,Two-Wheeler,Daily,"Business, Commute, Family","Comfort, Sustainability, Fuel Type","BMW, Hyundai, Honda",Somewhat,Very Likely,15436,Easy swaps,<3 months,Yes,Insurance,Kitchen pretty hot least successful mean strong.,Once a year,Somewhat,Yes,"Easy UI, Ratings",5.0
44,Male,59187,Freelancer,North Michael,Married,Yes,Sedan,Rarely,"Other, Business, Family","Comfort, Model Variety, Sustainability",Tata,No,Likely,16882,"Monthly flexibility, Insurance included, No down payment",3-6 months,Yes,"Condition of vehicle, Trust, Insurance",Team fill like think respond.,Every 2-3 years,Not Comfortable,Yes,"Live Chat, Ratings, Offers/Discounts",4.0
33,Other,34749,Retired,North Joshuaberg,Married,No,EV,Weekends only,"Business, Other, Leisure","Safety, Brand, Sustainability","Kia, Hyundai",No,Likely,23384,"No down payment, Monthly flexibility, Digital platform",<3 months,Yes,Insurance,It resource natural above customer miss development imagine finish.,I don’t care,Very Comfortable,No,"Model Filters, Swap History, Offers/Discounts",3.9
32,Male,46338,Business Owner,Cristinabury,Single,Yes,Sedan,Weekends only,"Business, Leisure","Comfort, Tech Features","Hyundai, Maruti, Audi",Yes,Very Likely,9183,No down payment,3-6 months,No,"Return process, Support, Cost",Tough head design officer trade worry upon.,Every 2-3 years,Neutral,No,"Easy UI, Live Chat, Ratings",4.4
18,Male,49410,Other,Lake Eric,Married,Yes,SUV,Weekends only,"Business, Leisure, Travel","Brand, Tech Features, Safety, Sustainability","Maruti, Toyota",Yes,Unlikely,21020,"No down payment, Monthly flexibility",<3 months,Yes,"Trust, Support",Bring establish get above back kind half affect sport.,I don’t care,Not Comfortable,No,Ratings,5.0
39,Male,47982,Other,South Kristen,Single,Yes,Other,Daily,"Other, Leisure","Sustainability, Safety","Honda, Hyundai",No,Neutral,13018,"Digital platform, Insurance included",6-12 months,Yes,Condition of vehicle,Top head decade seek must.,Rarely,Very Comfortable,Yes,Model Filters,5.0
38,Female,55007,Other,East Kathryn,Married,Yes,Hatchback,Weekends only,"Commute, Travel","Model Variety, Comfort, Tech Features, Fuel Type, Sustainability","Honda, Toyota",Somewhat,Neutral,12258,"Monthly flexibility, Easy swaps",6-12 months,Yes,"Trust, Insurance, Cost",Low whom own trial film head opportunity through.,Once a year,Very Comfortable,Yes,"Swap History, Ratings",2.0
53,Female,71470,Freelancer,North Dianahaven,Married,Yes,Two-Wheeler,Few times a week,"Business, Travel",Model Variety,Toyota,Somewhat,Neutral,15406,Insurance included,3-6 months,Yes,Cost,Own woman old hard population reason series spend answer concern.,Once a year,Somewhat,Yes,"Model Filters, Swap History",3.0
28,Male,66226,Student,South Walterfurt,Single,Yes,SUV,Daily,"Leisure, Business, Other","Safety, Tech Features, Model Variety, Comfort","Honda, Hyundai, Audi",Yes,Neutral,16188,"No down payment, Easy swaps",6-12 months,Not Sure,Cost,Today movement TV meet however send much he.,Rarely,Not Comfortable,Yes,Ratings,2.7
34,Female,30316,Retired,East Alexander,Single,Yes,Two-Wheeler,Weekends only,"Leisure, Family",Fuel Type,Audi,Yes,Never,13947,"Easy swaps, Insurance included",<3 months,No,Trust,Him listen data sea institution.,I don’t care,Neutral,Yes,"Ratings, Easy UI, Model Filters",4.9
34,Male,59331,Other,West Jennifertown,Other,Yes,Other,Rarely,"Commute, Business, Family","Tech Features, Sustainability, Model Variety","Hyundai, Other, Maruti",Yes,Very Likely,18051,"Digital platform, Roadside assistance",3-6 months,No,"Support, Insurance, Return process",Owner participant arm they each last car age.,Once a year,Not Comfortable,Yes,"Offers/Discounts, Easy UI, Ratings",3.2
47,Female,69933,Retired,Lake Jamesshire,Married,Yes,Other,Daily,Travel,Brand,BMW,Somewhat,Very Likely,15426,"No down payment, Insurance included, Easy swaps",6-12 months,Yes,"Condition of vehicle, Support",Attorney himself main discover reality skin.,Every 2-3 years,Very Comfortable,Yes,"Easy UI, Ratings, Swap History",3.8
31,Female,55802,Other,Kyleland,Married,No,Luxury,Few times a week,"Leisure, Commute, Family",Tech Features,"Hyundai, Tata",Yes,Very Likely,14003,"Roadside assistance, Digital platform, Monthly flexibility",6-12 months,Yes,Support,Issue get cell personal without red security our huge lead.,I don’t care,Neutral,No,"Ratings, Easy UI",5.0
34,Female,66364,Freelancer,Ramirezton,Married,Yes,Hatchback,Few times a week,"Other, Travel","Tech Features, Fuel Type, Brand, Comfort",Audi,Yes,Very Likely,12918,"Digital platform, Roadside assistance",3-6 months,Yes,"Return process, Trust",Stay ever discussion adult actually you.,Once a year,Very Comfortable,No,"Ratings, Offers/Discounts",5.0
38,Male,80184,Student,Lake Deniseville,Single,Yes,SUV,Rarely,"Commute, Other, Leisure","Safety, Model Variety, Comfort, Sustainability, Brand",Kia,Yes,Very Likely,16191,No down payment,6-12 months,Not Sure,"Cost, Availability, Insurance",Board question open hit claim assume be I.,Rarely,Somewhat,Yes,"Easy UI, Ratings",5.0
33,Other,65355,Student,Robertbury,Married,Yes,Luxury,Rarely,"Other, Travel, Leisure","Fuel Type, Safety","BMW, Hyundai, Tesla",Yes,Neutral,8216,"Monthly flexibility, No down payment",6-12 months,Not Sure,"Return process, Availability, Support",Road worker town try act.,I don’t care,Not Comfortable,Yes,"Swap History, Model Filters",3.1
27,Female,53739,Other,South Kelly,Married,No,Other,Daily,"Leisure, Family","Model Variety, Sustainability","Maruti, Tesla, Other",Somewhat,Likely,9627,"Insurance included, Easy swaps",3-6 months,No,"Trust, Condition of vehicle",Oil serious suggest final listen happy act most probably play.,Once a year,Very Comfortable,Yes,"Swap History, Offers/Discounts",1.0
33,Male,65676,Freelancer,Willieland,Married,Yes,SUV,Daily,"Commute, Leisure","Sustainability, Tech Features","BMW, Other",No,Never,13162,"Digital platform, Easy swaps, No down payment",6-12 months,Yes,"Support, Condition of vehicle",Reveal serve air improve reality.,Rarely,Very Comfortable,Yes,"Model Filters, Offers/Discounts",3.5
42,Female,52173,Working Professional,Lake Briantown,Single,Yes,Two-Wheeler,Few times a week,Other,Comfort,Other,Yes,Likely,17724,Roadside assistance,6-12 months,Yes,"Availability, Insurance",Never sit federal sit ball.,I don’t care,Not Comfortable,Yes,Live Chat,2.3
21,Male,50358,Retired,West Matthewfort,Single,Yes,Luxury,Rarely,Other,"Fuel Type, Tech Features, Comfort","Honda, Maruti",Yes,Likely,25714,Easy swaps,6-12 months,Yes,"Support, Cost",Because clearly here short successful area born throw.,Every 2-3 years,Neutral,No,"Live Chat, Offers/Discounts, Model Filters",1.7
33,Female,44728,Retired,South Alexandra,Single,No,Luxury,Daily,"Leisure, Travel","Tech Features, Model Variety, Brand","BMW, Audi",Yes,Never,14203,Digital platform,6-12 months,Not Sure,"Condition of vehicle, Availability, Return process",Maybe price finish strong off care suggest edge piece good.,I don’t care,Very Comfortable,Yes,Ratings,5.0
24,Male,73451,Business Owner,Davidside,Single,Yes,Hatchback,Few times a week,"Leisure, Business, Other","Model Variety, Brand","Other, Hyundai",Yes,Unlikely,6128,Roadside assistance,>1 year,No,"Return process, Support",Surface camera model as high nation future college draw order case.,Every 2-3 years,Not Comfortable,Yes,"Easy UI, Model Filters",2.9
43,Female,37723,Freelancer,Ginaberg,Single,Yes,Sedan,Rarely,"Family, Other, Business","Sustainability, Fuel Type, Brand, Comfort, Model Variety","Maruti, Audi",Yes,Likely,11048,"Easy swaps, Roadside assistance",3-6 months,Not Sure,Condition of vehicle,Sport simply her senior drug maintain.,I don’t care,Somewhat,Yes,Offers/Discounts,3.0
18,Female,72985,Business Owner,New Gary,Single,Yes,Two-Wheeler,Few times a week,"Travel, Family","Safety, Brand, Sustainability, Comfort","Toyota, Honda, Hyundai",No,Neutral,18294,Monthly flexibility,>1 year,No,"Availability, Support",Company PM history do describe push.,Rarely,Somewhat,Yes,Easy UI,3.6
26,Male,57497,Other,North Jeffery,Single,Yes,Two-Wheeler,Weekends only,"Family, Other","Model Variety, Safety",Maruti,Yes,Unlikely,10148,Insurance included,>1 year,Yes,"Condition of vehicle, Availability, Cost",Sometimes enjoy shake court fast long town recognize where government.,Every 2-3 years,Not Comfortable,Yes,"Offers/Discounts, Live Chat, Easy UI",5.0
35,Male,29010,Business Owner,West Jamesberg,Single,No,Luxury,Rarely,"Business, Other, Commute","Comfort, Sustainability, Tech Features, Brand","Hyundai, Honda, Tata",Yes,Likely,8471,"Insurance included, Monthly flexibility, Digital platform",<3 months,Yes,Return process,Subject option build let beyond health.,Every 2-3 years,Very Comfortable,No,"Easy UI, Live Chat",3.8
47,Male,55514,Student,Garciaport,Married,No,Luxury,Daily,"Business, Family, Leisure","Safety, Brand, Model Variety, Fuel Type, Comfort","Tesla, Kia, Toyota",Yes,Likely,18268,"Roadside assistance, Easy swaps, No down payment",>1 year,Yes,Cost,Tv them treatment debate safe medical price.,I don’t care,Not Comfortable,Yes,"Ratings, Model Filters",5.0
31,Male,18499,Retired,Port Erika,Single,Yes,Hatchback,Daily,"Family, Business","Sustainability, Model Variety, Brand, Tech Features, Safety","Audi, Other",No,Unlikely,17324,Easy swaps,>1 year,Yes,Condition of vehicle,Onto young mind anything however difference.,Once a year,Not Comfortable,Yes,"Model Filters, Ratings",3.6
26,Male,59382,Business Owner,Port Cynthiafort,Single,No,Sedan,Weekends only,Travel,Tech Features,Honda,No,Neutral,7637,"Roadside assistance, Digital platform",<3 months,Yes,"Cost, Return process, Insurance",Measure western look stop remember identify I.,Every 2-3 years,Very Comfortable,No,"Model Filters, Offers/Discounts",2.1
50,Female,63278,Student,Rodneyfort,Single,Yes,Two-Wheeler,Rarely,Other,"Brand, Model Variety, Sustainability",Maruti,No,Very Likely,10525,"Insurance included, Easy swaps, Roadside assistance",6-12 months,No,Trust,Raise price clear race social.,I don’t care,Neutral,Yes,"Swap History, Model Filters",2.6
18,Male,41114,Freelancer,Burnettview,Single,Yes,Other,Few times a week,Commute,"Sustainability, Safety, Fuel Type, Tech Features, Brand",Tata,No,Neutral,21223,No down payment,6-12 months,No,"Availability, Condition of vehicle",Feel perform myself election rock recent daughter early dinner minute.,Rarely,Neutral,Yes,"Easy UI, Model Filters, Offers/Discounts",4.0
18,Male,51853,Business Owner,North Louis,Married,Yes,EV,Daily,"Travel, Other",Brand,"Other, BMW",No,Likely,19264,"Roadside assistance, Easy swaps",>1 year,Yes,Return process,Great big fight send war size would high sell about.,I don’t care,Somewhat,Yes,"Easy UI, Live Chat, Model Filters",4.1
36,Female,79312,Other,North Loganview,Single,Yes,EV,Weekends only,"Other, Business, Family","Model Variety, Sustainability, Fuel Type, Tech Features","Toyota, Kia, Tata",Yes,Unlikely,9013,"Monthly flexibility, Insurance included, No down payment",<3 months,Yes,"Condition of vehicle, Availability",Power factor media central significant alone company military seem present.,I don’t care,Neutral,No,"Live Chat, Ratings",4.7
26,Male,42413,Other,Haysborough,Married,No,Sedan,Weekends only,Leisure,"Tech Features, Safety, Fuel Type, Brand",Audi,Somewhat,Very Likely,5055,Roadside assistance,6-12 months,Yes,"Support, Insurance, Availability",Outside myself offer us dinner school.,Every 2-3 years,Not Comfortable,Yes,"Model Filters, Offers/Discounts",4.7
21,Female,34116,Other,Fletcherland,Divorced,Yes,SUV,Rarely,"Leisure, Business",Sustainability,"Other, Toyota",Yes,Unlikely,16342,Digital platform,<3 months,No,Return process,At fill single less true west evening particularly.,Once a year,Very Comfortable,Yes,Model Filters,5.0
39,Female,72224,Retired,Richardsonview,Married,Yes,Hatchback,Rarely,"Leisure, Business, Family","Fuel Type, Sustainability, Comfort","Toyota, Maruti",No,Neutral,13519,Easy swaps,3-6 months,Yes,Insurance,Those to leg outside official popular economic drug coach year bed.,Rarely,Somewhat,No,"Offers/Discounts, Easy UI, Live Chat",3.1
34,Female,79438,Business Owner,East Kathy,Married,Yes,Sedan,Daily,"Business, Other",Sustainability,"Other, Tata, Maruti",No,Likely,15908,Roadside assistance,3-6 months,Yes,"Support, Condition of vehicle",Type over law fine individual.,Every 2-3 years,Neutral,No,Swap History,5.0
26,Female,50055,Freelancer,South Daniellestad,Married,Yes,EV,Weekends only,"Leisure, Family","Sustainability, Safety, Brand, Fuel Type",Tesla,No,Very Likely,18173,Monthly flexibility,3-6 months,Not Sure,"Return process, Support",Exist such choice beautiful serious rise.,Every 2-3 years,Not Comfortable,Yes,Live Chat,5.0
19,Female,65171,Business Owner,East Brian,Married,Yes,Luxury,Few times a week,Leisure,"Model Variety, Brand, Fuel Type, Safety","Maruti, BMW, Toyota",Somewhat,Unlikely,10218,Roadside assistance,3-6 months,Yes,"Trust, Availability",Administration why home heart close.,Every 2-3 years,Somewhat,No,Ratings,3.4
40,Male,70122,Retired,Janicebury,Single,Yes,EV,Weekends only,"Travel, Business, Leisure","Comfort, Safety, Model Variety, Tech Features, Fuel Type",Honda,No,Never,12839,"Insurance included, Roadside assistance, Monthly flexibility",>1 year,Yes,"Support, Insurance",Ready art manager whole foot step choose.,Rarely,Very Comfortable,Yes,"Swap History, Model Filters, Live Chat",3.0
38,Male,38862,Student,West Heather,Single,No,Luxury,Few times a week,"Other, Commute, Travel",Brand,"Honda, Hyundai, Toyota",Somewhat,Likely,10504,"No down payment, Insurance included",3-6 months,No,"Availability, Insurance, Condition of vehicle",Former simple finally west exist here everyone.,Once a year,Neutral,Yes,"Model Filters, Offers/Discounts, Easy UI",1.9
31,Male,42720,Retired,Lewisstad,Married,Yes,Hatchback,Few times a week,Other,"Tech Features, Sustainability, Safety, Brand, Model Variety",Audi,Somewhat,Likely,10683,Monthly flexibility,3-6 months,Not Sure,Insurance,Challenge administration song hundred society current whose religious few suffer.,Rarely,Not Comfortable,Yes,"Model Filters, Swap History",4.2
